,tweet_processed,finer_updated,idx,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_combined
0,fortun cooki invent buse transform shower,['solutions_interventions'],28,0.0835616514086723,0.1377001255750656,0.778738260269165,0.9164383858442308
1,perfect place right heart downtown alreadi far mani lawless social disrupt drifter concentr area good luck find anyon will resid,"['harmful_generalization', 'not_in_my_backyard']",43,0.0368327386677265,0.699579119682312,0.2635881006717682,0.9631672203540802
2,dont think drug use exclus,['harmful_generalization'],87,0.0179534833878278,0.418014645576477,0.5640318989753723,0.9820465445518494
3,impress philadelphia come sacramento usa capit shame,['government_critique'],100,0.0068015777505934,0.9370579123497008,0.0561405047774314,0.9931984171271324
4,15 billion dollar went 15 billion dollar help,"['money_aid_resource_allocation', 'government_critique']",106,0.0355210825800895,0.4764286577701568,0.4880502820014953,0.9644789397716522
5,never met actual born rais would definit sanfrancisco,['personal_interaction_observation_of_homelessness'],108,0.1732883006334304,0.1460499465465545,0.6806617379188538,0.8267116844654083
6,someon post regard epic “don't underestim abil rich step bodi make michelin star restaurant”,['societal_critique'],169,0.2401703894138336,0.1257780045270919,0.6340516209602356,0.7598296254873276
7,true there place allow shit sidewalk hand drug needl end street playground great,"['harmful_generalization', 'not_in_my_backyard']",205,0.1388759762048721,0.5754643082618713,0.2856597304344177,0.8611240386962891
8,blue state money someth tent citi im pretti sure blue state look financi bailout failur balanc budget nice tri cupcak,"['money_aid_resource_allocation', 'government_critique']",290,0.0236432813107967,0.7014241218566895,0.2749325931072235,0.976356714963913
9,mr presid thousand crowd side walk la ny within vicin respect hollywood wall street,['government_critique'],332,0.021956255659461,0.4983357191085815,0.4797079861164093,0.9780437052249908
10,proxim downtown realli hope there plan place allevi develop would shame project displac provid afford place live,"['government_critique', 'solutions_interventions', 'not_in_my_backyard']",347,0.1014677882194519,0.4181348979473114,0.4803972840309143,0.8985321819782257
11,maverick good didnt save anyth hollywood dead fill,['societal_critique'],354,0.0082650743424892,0.9039286375045776,0.0878063291311264,0.991734966635704
12,sure sea heroin street 35 year old make fort downtown philli sport fan trump everyth top crime,"['harmful_generalization', 'societal_critique']",374,0.0296982582658529,0.6980069875717163,0.2722947597503662,0.9703017473220824
13,say guy whos shit pee place,['harmful_generalization'],378,0.0110889682546257,0.8677781820297241,0.1211328580975532,0.9889110401272774
14,son live kansa know republican also know democrat current tri extermin tran place like portland new york citi yet say better deal show,['government_critique'],387,0.0171843767166137,0.7412932515144348,0.241522267460823,0.982815518975258
15,start take back special interest money nannygoat gang put taxpay money put toward fix infrastructur mean realli need new park drug addict pile let camp outsid offic,"['money_aid_resource_allocation', 'government_critique', 'harmful_generalization']",404,0.0173583012074232,0.7580780386924744,0.2245637476444244,0.9826417863368988
16,it shame rvs encamp marina del rey venic noho culver citi hollywood fuck job get danger encamp neighborhood,"['government_critique', 'not_in_my_backyard']",409,0.0071544232778251,0.9189484715461732,0.0738971009850502,0.9928455725312232
17,allow make tent walk woodland hill get answer,['not_in_my_backyard'],432,0.0061478251591324,0.8711420893669128,0.1227101162075996,0.9938522055745124
18,get oakland it shithol citi control crime ridden huge welfar popul drug fill street,"['harmful_generalization', 'not_in_my_backyard']",440,0.0063055460341274,0.9569546580314636,0.0367397926747798,0.9936944507062436
19,13 adult veteran yet odd 35 year ask simpl question veteran one least 450 could answer simpl question servic usual mos,['personal_interaction_observation_of_homelessness'],512,0.0214993171393871,0.5575740933418274,0.420926570892334,0.9785006642341614
20,census data account undocu residentshomeless resid incom taxpay count,['government_critique'],517,0.0147603247314691,0.1457370817661285,0.8395026922225952,0.9852397739887238
21,counti ssdissi 127174 amp ebt calfresh 2300 amp cant afford pay hous amp food amp medic condit mean cant food food meal anymor amp advoc counti amp hous crisi,,523,0.0099391061812639,0.8480707406997681,0.1419900953769683,0.9900608360767365
22,liber state ny highest percentag even close 7 top 10 democrat governor yup republican caus issu,['government_critique'],560,0.0204839576035738,0.7786537408828735,0.2008622735738754,0.979516014456749
23,misdemeanor charg fresno advoc dez martinez drop morn per attorney,,568,0.0147140631452202,0.1098023205995559,0.8754836916923523,0.9852860122919084
24,census data reflect undocu resid enter middleclass taxpay leav isnt newsom want tax leav major remain dont pay tax,"['money_aid_resource_allocation', 'government_critique', 'deserving_undeserving_of_resources']",584,0.0132534187287092,0.3414683640003204,0.6452782154083252,0.9867465794086456
25,that hernando counti entir state florida live orang counti real help real without pet help drug addict real,"['harmful_generalization', 'government_critique']",594,0.0076960255391895,0.9025169610977172,0.089787058532238,0.9923040196299552
26,made 1 place move us lost hundr billion revenu forc compani move tax busi tax friend state also highest us good job,"['money_aid_resource_allocation', 'government_critique']",645,0.0141891445964574,0.8711310625076294,0.1146798357367515,0.985810898244381
27,someon work may want monitor local gov nonprofit sd wast precious fund alloc help like advoc alli counti union know,"['money_aid_resource_allocation', 'government_critique']",723,0.1441561132669448,0.0245531685650348,0.8312906622886658,0.8558438308537006
28,best place weather buffoon migrat weather pattern live el cajon nativ diegan far,['personal_interaction_observation_of_homelessness'],728,0.0599562935531139,0.6651713252067566,0.2748723328113556,0.9400436580181122
29,hard guy account 30 entir countri popul doesnt look like theyr leav lol realli dont think realiz crazi state actual,['government_critique'],753,0.02647490426898,0.7402648329734802,0.2332602143287658,0.973525047302246
30,go point finger look former citi mayor open drug use went human wast public street becam normal discard drug paraphernalia street skyrocket mention grow popul,"['harmful_generalization', 'government_critique']",767,0.0161307211965322,0.8343960046768188,0.1494732499122619,0.9838692545890808
31,king alex thank lot world never seen disast 10 million stay whole build collaps hollywood film,['media_portrayal'],790,0.3060861527919769,0.4410378634929657,0.2528760433197021,0.6939139068126678
32,could start least one floor build dedic provid space take shelter amp sleep believ someon must resourc make happen amp keep work amp safe downtown mere shadow former self,['solutions_interventions'],809,0.1110130026936531,0.090486854314804,0.798500120639801,0.8889869749546051
33,like get peed guy wait cross street like step car onto pile human fece your pretti sure smell come step around death,['harmful_generalization'],810,0.2558645904064178,0.3255417644977569,0.4185936748981476,0.7441354393959045
34,import point round year 8000 activ 680000000 budget 8000 85000 per repeat worth 85000 revenu opportun charg care busi,"['money_aid_resource_allocation', 'government_critique']",820,0.1511684656143188,0.077901042997837,0.7709304094314575,0.8488314524292946
35,lie lie lie hollywood hitler couldnt touch great ron state florida got go that move camp state,"['deserving_undeserving_of_resources', 'societal_critique']",858,0.0094856740906834,0.925058901309967,0.065455362200737,0.990514263510704
36,wait move distroy also hollywood hitler allow along aunt useless teeth lick nanci,"['harmful_generalization', 'societal_critique']",861,0.0197034459561109,0.8065483570098877,0.173748180270195,0.9802965372800828
37,californian would rather live arkansa girli man newson took away right choos car want buy amp state allow choos damag children go clean gavin deal,['government_critique'],878,0.00754328770563,0.8896204829216003,0.1028361916542053,0.9924566745758056
38,new jersey began waiv fee replac birth certif juli allow get state id card free connecticut georgia illinoi michigan nevada north carolina south carolina alreadi waiv fee obtain id,['solutions_interventions'],879,0.1364255994558334,0.015256768092513,0.848317563533783,0.863574331626296
39,visit visit dec walk man light crack pipe next hilton two street tent hand drug 1 drop shiv one friend point pick,['personal_interaction_observation_of_homelessness'],895,0.0256365071982145,0.4336445331573486,0.5407189726829529,0.9743635058403016
40,long mateozuni park lot becom unsanct camp,['not_in_my_backyard'],910,0.014010845683515,0.2613065242767334,0.7246826887130737,0.9859892129898072
41,live sunni gavin sure pot call kettl black crime drug unpreced inflat sort tax dollar repar illeg rather pot hole larg enough drive truck,"['harmful_generalization', 'government_critique']",957,0.0152795575559139,0.8469430804252625,0.1377774327993393,0.9847205132246016
42,oh sorri couldnt help notic giant crisi everyon stuff like mayb big brain dead,['government_critique'],993,0.0091178221628069,0.8894758820533752,0.1014062836766243,0.9908821657299997
43,forgot mani gum street,['harmful_generalization'],1019,0.0129500273615121,0.8442811965942383,0.1427687555551529,0.9870499521493912
44,he governor seen it shit show drug gang cartel holi shit glass hous,"['harmful_generalization', 'government_critique']",1040,0.0080195013433694,0.9245031476020812,0.0674773156642913,0.9919804632663728
45,gavin everyon els choos read fact highest murder 3184 firearm entir countri 5 time arkansa strictest gun law interest let get tax,['government_critique'],1041,0.0290561318397521,0.6095598340034485,0.3613840937614441,0.9709439277648926
46,downtown littl rock town center slump outskirt stop propaganda taken financi district wasteland step human fece walk 3rd st promenad la assault repeat,"['harmful_generalization', 'not_in_my_backyard']",1043,0.0185831934213638,0.7121348977088928,0.2692819237709045,0.9814168214797974
47,pimpsdrug robberi hell go bill357 children walk past campsdrug addictsnak prostitut doesnt anyon courag stand lawabid citizen citi devil taken,"['harmful_generalization', 'government_critique', 'not_in_my_backyard']",1055,0.0053873364813625,0.936321258544922,0.0582913868129253,0.9946126453578472
48,need worri cesspool last time walk encamp la whether arkansa high murder rate crime time unlik cesspool like ca ny citi oregon chicago amp progress shithol,['government_critique'],1059,0.013363217934966,0.7930291295051575,0.1936076879501342,0.9866368174552916
49,salton sea place call slab citi liter town differ product town,['harmful_generalization'],1081,0.0210088863968849,0.6261337995529175,0.3528573215007782,0.9789911210536956
50,forget exact 2 3 year ago camp start fire mountain view ca caus power outag tree went burn power line cant find articl though,['personal_interaction_observation_of_homelessness'],1117,0.0080495160073041,0.7294216156005859,0.2625289261341095,0.9919505417346954
51,there realli nice base right sunni build fix give someth proud amp mayb theyll take care actual busi plan written someth like build town,['solutions_interventions'],1167,0.8024324774742126,0.0199159756302833,0.1776515543460846,0.1975675299763679
52,bout offer addict 1k month lifetim suppli harm reduct kit foil 1 way bus ticket seattl repeal 110 rework servic realli support non addict amp tri make mess state,"['money_aid_resource_allocation', 'solutions_interventions', 'harmful_generalization']",1172,0.0600201189517974,0.2546276152133941,0.6853522658348083,0.9399798810482024
53,well drive walmart mateo locat place build youth center southeastern part citi alreadi camp along mateo citi zero control dump ground much,"['government_critique', 'not_in_my_backyard']",1181,0.0326270684599876,0.5104914903640747,0.4568813145160675,0.9673728048801422
54,gavin celebr state rate exceed next closest state almost doubl must proud poop street beauti,['government_critique'],1182,0.7514716982841492,0.0629176124930381,0.185610681772232,0.2485282942652702
55,arkansa doesn't take main street either don't take care state quiet btw accord cdc it 1 total murder,['government_critique'],1220,0.0142568023875355,0.8285679817199707,0.1571751683950424,0.9857431501150132
56,follow newsom 10 year plan solv problem mean plan realli work wonder lol,"['government_critique', 'solutions_interventions']",1229,0.6874278783798218,0.0519406758248806,0.2606314718723297,0.3125721476972103
57,tough guy you'v govofor year state complet mess leav state perhap keep attent murder crime keep up tax afford less,"['money_aid_resource_allocation', 'government_critique']",1253,0.0092771053314208,0.8987264037132263,0.0919965803623199,0.9907229840755464
58,actual it highest flee crazi state newsom actual think american vote ruin countri like nope,['government_critique'],1297,0.010420985519886,0.8614179491996765,0.1281610280275344,0.989578977227211
59,california huge popul sleep street drug er street answer,"['harmful_generalization', 'government_critique']",1298,0.0076122116297483,0.8868006467819214,0.1055871546268463,0.9923878014087676
60,downtown area aggress confront becom common human fece evid sidewalk,"['harmful_generalization', 'not_in_my_backyard']",1313,0.0121863102540373,0.6656787991523743,0.3221348822116852,0.9878136813640594
61,probabl still lower california…and how comparison,['government_critique'],1389,0.0368418619036674,0.2775037288665771,0.6856544017791748,0.963158130645752
62,definit close nightmar dont one highest minimum wage countri highest popul countri,['government_critique'],1397,0.0138951176777482,0.8662962913513184,0.1198085099458694,0.9861048012971878
63,shit everywher take advic die relat storm capit im gonna tell realli tri say would happen,"['harmful_generalization', 'government_critique']",1433,0.0194865651428699,0.7549848556518555,0.2255286574363708,0.9805135130882264
64,kind program design bring communiti democrat process enabl releas creativ initi creat consumerdriven solut hous whole spectrum human servic,['solutions_interventions'],1440,0.0899704918265342,0.023604379966855,0.8864251375198364,0.9100295174866916
65,us politician plenti problem 8000 plus million health care coverag polic violenc name,['government_critique'],1455,0.007017720490694,0.9251261353492736,0.0678561851382255,0.9929823204874992
66,street quit sight also everyon love pimp prostitut addict face fix state stop let sewag seep outsid,"['harmful_generalization', 'government_critique']",1456,0.0178568679839372,0.8637090921401978,0.1184340640902519,0.9821431562304496
67,sit one newsom twosom state cant keep street needl fece street sit,"['harmful_generalization', 'government_critique']",1530,0.0084434002637863,0.8704347610473633,0.1211218312382698,0.9915565922856332
68,that gonna artswarehous district south dtla afford fill area,['not_in_my_backyard'],1586,0.0444374643266201,0.2870054543018341,0.6685570478439331,0.9555625021457672
69,evil evil drunken hag go away pelosi district drug user street high school student classroom,"['harmful_generalization', 'government_critique']",1638,0.007824283093214,0.9246802926063538,0.0674954429268837,0.9921757355332376
70,bro tri walk day mob,['personal_interaction_observation_of_homelessness'],1660,0.027615625411272,0.7216323614120483,0.2507519721984863,0.9723843336105348
71,trust guy defec street dozen needl stick arm yell incoher word watch unlock car trust cnn poll,"['harmful_generalization', 'personal_interaction_observation_of_homelessness']",1677,0.0108400480821728,0.8565274477005005,0.1326325088739395,0.98915995657444
72,gavin worri know shes go much better job manag let turn tijuana pimp drug dealer gang hooker garbag everywher stupid insur kid arent get educ,"['harmful_generalization', 'government_critique']",1718,0.0086492886766791,0.9027316570281982,0.088619090616703,0.9913507476449012
73,agre scale averag world make 2 day care earth tri surviv tent addict problem though 95 meth heroin user,"['harmful_generalization', 'societal_critique']",1733,0.0649343430995941,0.544071614742279,0.3909940719604492,0.9350656867027284
74,gavin gruesom gull critic women governor state turn shit drug invest citi downtown never seen gas price hurt wallet shut mouth gavin grow ball,"['harmful_generalization', 'government_critique']",1743,0.0078827319666743,0.9187144637107848,0.073402814567089,0.992117278277874
75,oh pleas tell us much safer pedophil murder crime street shoplift whenev want shit wherev want look like war zone hope mother natur drop ocean,"['harmful_generalization', 'government_critique', 'not_in_my_backyard']",1746,0.040138978511095,0.776552677154541,0.1833082735538482,0.9598609507083892
76,way i'v treat inhuman i'v kick hospit fremont amp jose middl night actual patient know home go left sleep sidewalk freez cold human kind,,1779,0.0039812428876757,0.9372170567512512,0.058801706880331,0.9960187636315824
77,dude realli regress drugfuel guntot transtesticl prostitut state watch,"['harmful_generalization', 'government_critique']",1789,0.0089464569464325,0.9268785715103148,0.0641749501228332,0.9910535216331482
78,fuck time last year sleep citi park get burn aliv water 105° weather fuck boss sold compani without give anyon real warn new owner fire everyon without even tell,,1859,0.0045200721360743,0.9578707814216614,0.0376090630888938,0.9954798445105552
79,highest tax rate illeg imagrantsand largest prison system usayou sure wanna go road largest popul flee statestop roll embarrass,['government_critique'],1975,0.0097792958840727,0.8987287282943726,0.0914919823408126,0.9902207106351852
80,cnn probabl found one pocket poll 25 ppl even found two dude assum republican,['media_portrayal'],1981,0.0325454212725162,0.4373377859592438,0.5301167964935303,0.967454582452774
81,great problem there reason everyon want move,"['deserving_undeserving_of_resources', 'societal_critique']",2041,0.8243454098701477,0.0274918358772993,0.1481628119945526,0.1756546478718519
82,wow you'r someth state dump crime drug prostitut would live arkansa,"['harmful_generalization', 'government_critique']",2052,0.0119044203311204,0.9277487993240356,0.0603467971086502,0.988095596432686
83,check murder rate everywher poop street prostitut broad daylight sell good gavin mani left leadership,"['harmful_generalization', 'government_critique']",2075,0.0060864491388201,0.9222218990325928,0.0716916471719741,0.993913546204567
84,yeah look dumpster fire full freak,['harmful_generalization'],2080,0.0112365456297993,0.9110348224639891,0.0777285620570182,0.9887633845210076
85,there also 40 million that less 05 popul we'r tri still get 0 what ratio state,['solutions_interventions'],2121,0.0709942132234573,0.2738962173461914,0.6551095843315125,0.929005801677704
86,81b…where hell money go state alabama budget 10b total popul 5m popul 200k make make sens,"['money_aid_resource_allocation', 'deserving_undeserving_of_resources']",2186,0.0131506770849227,0.713305652141571,0.2735436856746673,0.9868493378162384
87,1 success program help treat huge failur plan hundr 2019 help 3 articl doesnt say much cost mani govt requir guess govt doesnt learn quick ppl balloon take time fail,"['money_aid_resource_allocation', 'government_critique', 'solutions_interventions']",2229,0.019290255382657,0.8350644111633301,0.1456453204154968,0.9807097315788268
88,cal poli continu student left back burner toward upcom offcampus hous hotel insuffici inform logist implement cal poli humboldt slap face current student bodi calpolyhumboldt arcataca,"['government_critique', 'solutions_interventions']",2243,0.0058460286818444,0.8847784399986267,0.1093756482005119,0.9941540881991386
89,highest rate highest amount fentanyl cross border highest pedophil rate protect pedophil children look make shit,"['harmful_generalization', 'government_critique']",2301,0.0079338224604725,0.9204787015914916,0.0715874582529068,0.9920661598443984
90,live sanfransicko hell amp danger never go realli bad van blvd mani tent sidewalk amp like scari ride busi close dystopian hellscap,"['not_in_my_backyard', 'personal_interaction_observation_of_homelessness']",2310,0.0065904478542506,0.944464921951294,0.0489446930587291,0.9934096150100232
91,biggest failur use diamond turd drug addict crime ridden bad everyon leav,"['harmful_generalization', 'government_critique']",2314,0.0072626057080924,0.940810203552246,0.0519272573292255,0.9927374608814716
92,didn't 6 mass shoot live pretti much street leav thousand move red state i'm pretti sure red state safer blue state,"['government_critique', 'solutions_interventions', 'not_in_my_backyard']",2343,0.0212364811450243,0.7504155039787292,0.228347972035408,0.9787634760141372
93,pathet blue state like minnesota mani wive kid your think poor refuge got street school black urban thug hes teach naiv dove gofundm account lesson ever run digit gypsi,"['harmful_generalization', 'societal_critique']",2427,0.0076311873272061,0.8820158839225769,0.1103529632091522,0.9923688471317292
